x-axis,1,2,3
second,Volt,Volt,Volt
-50.00000E-03,-19.97487E-03,+3.40452264E+00,+18.46734E-03
-49.95000E-03,-16.08040E-03,+3.11557791E+00,+17.06030E-03
-49.90000E-03,-14.07035E-03,+2.81407037E+00,+16.85930E-03
-49.85000E-03,-11.05528E-03,+2.50000002E+00,+17.28643E-03
-49.80000E-03,-8.04020E-03,+2.39949751E+00,+17.23618E-03
-49.75000E-03,-6.90955E-03,+2.11055278E+00,+17.08543E-03
-49.70000E-03,-2.01005E-03,+1.79648243E+00,+17.61307E-03
-49.65000E-03,+2.01005E-03,+1.29396986E+00,+17.46231E-03
-49.60000E-03,+4.02010E-03,+1.20603016E+00,+16.10553E-03
-49.55000E-03,+8.04020E-03,+904.52262E-03,+16.45729E-03
-49.50000E-03,+11.93467E-03,+603.01508E-03,+17.68844E-03
-49.45000E-03,+12.93970E-03,+288.94473E-03,+16.25628E-03
-49.40000E-03,+14.07035E-03,+0.0E+00,+15.70352E-03
-49.35000E-03,+18.09045E-03,-402.01005E-03,+17.68844E-03
-49.30000E-03,+20.10050E-03,-590.45227E-03,+17.26131E-03
-49.25000E-03,+25.12563E-03,-904.52262E-03,+15.87940E-03
-49.20000E-03,+28.01508E-03,-1.00502513E+00,+16.85930E-03
-49.15000E-03,+29.14573E-03,-1.20603016E+00,+16.45729E-03
-49.10000E-03,+32.16080E-03,-1.60804021E+00,+18.04020E-03
-49.05000E-03,+35.05025E-03,-1.80904524E+00,+16.85930E-03
-49.00000E-03,+36.18090E-03,-2.39949751E+00,+18.06533E-03
-48.95000E-03,+39.07035E-03,-2.31155781E+00,+16.28141E-03
-48.90000E-03,+40.20100E-03,-2.81407037E+00,+16.43216E-03
-48.85000E-03,+46.23116E-03,-2.90201007E+00,+17.88945E-03
-48.80000E-03,+48.11558E-03,-3.21608043E+00,+16.48241E-03
-48.75000E-03,+51.13065E-03,-3.30402013E+00,+16.68342E-03
-48.70000E-03,+52.26131E-03,-3.80653269E+00,+16.88442E-03
-48.65000E-03,+56.28141E-03,-3.81909551E+00,+16.45729E-03
-48.60000E-03,+58.29146E-03,-4.02010053E+00,+16.48241E-03
-48.55000E-03,+60.30151E-03,-4.32160807E+00,+14.82412E-03
-48.50000E-03,+64.19598E-03,-4.81155783E+00,+15.67839E-03
-48.45000E-03,+64.32161E-03,-4.91206034E+00,+15.70352E-03
-48.40000E-03,+66.33166E-03,-5.02512567E+00,+15.25126E-03
-48.35000E-03,+69.22110E-03,-5.22613069E+00,+16.10553E-03
-48.30000E-03,+72.23618E-03,-5.62814075E+00,+17.23618E-03
-48.25000E-03,+73.24121E-03,-5.62814075E+00,+16.90955E-03
-48.20000E-03,+74.37186E-03,-5.82914577E+00,+17.66332E-03
-48.15000E-03,+77.38693E-03,-6.13065331E+00,+17.23618E-03
-48.10000E-03,+78.39196E-03,-6.03015080E+00,+17.26131E-03
-48.05000E-03,+80.40201E-03,-6.23115583E+00,+16.25628E-03
