# Frequenz/Hz, Ugpp/mV, Uepp/mV, UApp/mV
  100,  209,  23, 20
  200,  207,  23, 20
  500,  207,  30, 20
  750,  207,  35, 20
 1000,  207,  40, 20
 1500,  207,  50, 19.0
 2000,  207,  60, 19.0
 2500,  207,  75, 19.5
 3000,  207,  85, 19.5
 3500,  207,  95, 19.5
 4000,  207, 105, 18
 4500,  207, 110, 18.7
 5000,  207, 125, 18.3
 5500,  207, 140, 18
 6000,  207, 150, 17.5
 6500,  207, 160, 17.3
 7000,  207, 170, 16.9
 7500,  207, 185, 16.5
 8500,  207, 195, 16.3
 9000,  207, 200, 15.7
10000,  207, 215, 14.7
