x-axis,1,2,3
second,Volt,Volt,Volt
-500.0000E-06,-16.7085425E-03,+7.6381910145E+00,+58.2914567E-03
-499.5000E-06,-14.3216079E-03,+7.4371859878E+00,+60.5527632E-03
-499.0000E-06,-8.6683416E-03,+7.3618091028E+00,+63.5678385E-03
-498.5000E-06,-7.6633165E-03,+7.3994975453E+00,+66.5829139E-03
-498.0000E-06,-4.0201005E-03,+7.1608040761E+00,+69.5979892E-03
-497.5000E-06,+0.0E+00,+7.0351759344E+00,+71.9849239E-03
-497.0000E-06,+2.0100502E-03,+6.8341709077E+00,+72.9899490E-03
-496.5000E-06,+7.4120602E-03,+6.8341709077E+00,+76.0050243E-03
-496.0000E-06,+10.0502511E-03,+6.6331658810E+00,+77.6381901E-03
-495.5000E-06,+15.7035174E-03,+6.4321608543E+00,+79.7738685E-03
-495.0000E-06,+18.0904521E-03,+6.3567839693E+00,+81.0301499E-03
-494.5000E-06,+20.1005023E-03,+6.2311558276E+00,+84.0452252E-03
-494.0000E-06,+25.3768842E-03,+6.0929648718E+00,+86.4321599E-03
-493.5000E-06,+28.1407032E-03,+5.6532663759E+00,+88.0653257E-03
-493.0000E-06,+31.4070348E-03,+5.7537688892E+00,+89.6984915E-03
-492.5000E-06,+34.4221102E-03,+5.5904523050E+00,+90.0753759E-03
-492.0000E-06,+39.4472358E-03,+5.2889447650E+00,+91.0804010E-03
-491.5000E-06,+41.8341704E-03,+5.2261306942E+00,+93.8442201E-03
-491.0000E-06,+45.4773864E-03,+4.9497487824E+00,+93.7185920E-03
-490.5000E-06,+46.4824116E-03,+4.8241206408E+00,+92.9648231E-03
-490.0000E-06,+50.2512557E-03,+4.6859296849E+00,+95.7286422E-03
-489.5000E-06,+54.2713562E-03,+4.3844221449E+00,+101.8844210E-03
-489.0000E-06,+58.2914567E-03,+4.3467337023E+00,+99.1206020E-03
-488.5000E-06,+61.9346727E-03,+4.0201005340E+00,+101.8844210E-03
-488.0000E-06,+64.3216074E-03,+3.8190955073E+00,+101.7587929E-03
-487.5000E-06,+66.5829139E-03,+3.6180904806E+00,+101.0050240E-03
-487.0000E-06,+68.3417078E-03,+3.4170854539E+00,+102.5125617E-03
-486.5000E-06,+74.3718585E-03,+3.4170854539E+00,+104.1457275E-03
-486.0000E-06,+76.3819087E-03,+3.0778894713E+00,+105.1507526E-03
-485.5000E-06,+78.6432152E-03,+2.8391960021E+00,+104.7738682E-03
