# Druck		# Zeit		# Zeit		# Zeit		# Zeit		# Zeit 		    
# P/mbar	# t/s		# t/s 		# t/s 		# t/s 		# t/s 
100			12.92		14.33		15.46		15.14		13.05
60			25.56 		26.04		25.80		26.04		26.10						
40			32.47 		32.85		32.53		32.31		33.25						
20			40.57 		40.98		41.19		41.03		41.72						
10 			48.74 		48.80		49.02		49.32		49.60						
8			51.09		50.87		50.94		51.46		51.83						
6 			54.03 		54.20		54.54		54.69		55.18						
4 			57.95 		58.14		58.41		58.57		58.94						
2 			65.14 		65.12		65.74		65.61		65.96						
1 			73.04 		73.09		73.14		73.39		73.64						
0.8 		74.84 		75.25		74.74		75.87		76.14						
0.6 		79.69 		80.04		80.45		80.37		80.78					
0.4 		87.99 		87.76		88.37		88.08		88.93						
0.2 		103.74 		104.12		104.26		104.52		104.74						
0.1 		120.20 		121.62		122.36		121.32		121.94						
0.08 		128.83 		130.78		131.49		130.91		130.31						
0.06 		147.92 		150.77		150.42		150.57		149.85						
0.04 		209.40 		222.61		216.56		216.30		209.70						
